countries,Region:,image,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,Asia,https://public.flourish.studio/country-flags/svg/af.svg,3752993,3769828,3787706,3806634,3825655,3844769,3863976,3883276,3902671,3922160,3941745,3961424,3981200,4001072,4021041,4041107,4061270,4081532,4101893,4122358,4142928,4163604,4184386,4205274,4226265,4247357,4268552,4289851,4311253,4332759,4354370,4376086,4397907,4419835,4441869,4464010,4486259,4508616,4531082,4553657,4576341,4599136,4622041,4645058,4668186,4691426,4714779,4738246,4761826,4793171,4832414,4879685,4935122,4998861,5063419,5128808,5195038,5262120,5330065,5467828,5681487,5977589,6363186,6845878,7365181,7923871,8524936,9171589,9875230,10338650,10558857,10531818,10252425,9714452,9204707,8721710,8264058,7830419,7419535,7099916,6866773,6715569,6642004,6642004,6642004,6642004,6642004,6642004,6642004,6662371,6703416,6765457,6848816,6953820,7060433,7168681,7278589,7390182,7503485,7624058,7480464,7571542,7667534,7764549,7864289,7971933,8087730,8210207,8333827,8468220,8622473,8790140,8969055,9157463,9355510,9565154,9783153,10010037,10247782,10494491,10752973,11015853,11286753,11575308,11869881,12157390,12425276,12687308,12938864,12986378,12486640,11155196,10088290,9951447,10243689,10512220,10448447,10322767,10383459,10673172,10694804,10745168,12057436,14003764,15455560,16418911,17106600,17788818,18493134,19262854,19542986,19688634,21000258,22645136,23553554,24411196,25442946,25903306,26427204,27385310,28189672,29249156,30466484,31541216,32716214,33753500,34636212,35643420,36686788,37769496,38972236,40099460
Africa,Africa,https://cdn.britannica.com/27/4227-004-32423B42/Flag-South-Africa.jpg,112295370,112846162,113385258,113801930,114222280,114646381,115074281,115506066,115941807,116390242,117016275,117325088,117811414,118310277,118812918,119319375,119829679,120343860,120861940,121396213,122130573,122512483,123096528,123697570,124303524,124914434,125530329,126151259,126777272,127418579,128257119,128747572,129435490,130139177,130848603,131563803,132284841,133011765,133744628,134394419,135129385,135445399,135846881,136165893,136491624,136824118,137163427,137509591,137862661,138243556,138827369,139094637,139567767,140074606,140595545,141130711,141680233,142244256,142822923,143407172,144170612,144586985,145180745,145775225,146378430,146990451,147611381,148241306,148852646,149715052,151007600,152208708,153847948,155754237,157688951,159652537,161645440,163668127,165721048,167806256,170123290,172075410,174260306,176479403,178731614,181017458,183337445,185692116,188081992,190625616,193553408,196192789,199225975,202432183,205698555,209026260,212416498,215870471,219389433,223251064,227549730,232484439,237586485,242837870,248245229,253848117,259631766,265515596,271429963,277648583,284288223,291177974,298334455,305755585,313466087,321447378,329658389,338159967,346980412,356070643,365450443,375086296,384930776,395212420,406069208,417556976,429573262,441701768,454463053,467976240,481543145,495655683,510540596,525335348,540183119,555652995,571646786,588080029,604511530,621167964,638157571,655040869,671931834,689140286,706488557,724331972,742765067,761224818,779908311,799099611,818952374,839464127,860611762,882349569,904781595,927898412,951740562,976461747,1001981577,1028200528,1055233717,1082676070,1110797495,1140180888,1170299297,1201108186,1232111820,1263333997,1295265310,1327701380,1360677453,1393676724
Albania,Europe,,501490,505377,509789,514733,519724,524764,529853,534991,540179,545417,550706,556046,561438,566882,572378,577928,583532,589190,594903,600661,606465,612314,618209,624151,630149,636206,642320,648493,654726,661018,667371,673785,680260,686798,693398,700062,706789,713582,720439,727425,734542,741792,749176,756696,764292,771964,779713,787540,795445,803288,811069,818784,826432,834010,841658,849375,857164,865024,872955,880526,887729,894559,901008,907070,913173,919317,925502,931729,937735,943550,949173,954600,959829,964858,969914,974995,980104,985239,990401,996604,1003863,1012195,1021616,1032142,1042776,1053520,1064375,1075341,1086421,1098015,1110133,1122787,1135986,1149741,1163663,1177753,1192014,1206448,1221056,1239906,1252587,1289175,1326957,1366747,1409011,1453732,1500625,1549575,1600986,1655022,1711189,1769076,1828234,1888302,1949020,2009793,2070694,2132447,2195474,2259797,2324733,2389820,2455181,2520442,2585457,2650128,2713564,2774798,2833317,2888764,2941650,2992391,3041188,3087904,3131731,3171727,3207129,3237677,3263019,3282187,3295073,3302087,3303738,3300715,3294001,3284370,3271336,3253721,3232185,3208265,3182027,3153615,3123554,3092993,3062629,3032636,3003391,2976089,2951690,2930553,2913402,2900660,2892191,2887019,2884100,2882482,2881064,2879361,2877019,2873883,2866850,2854710
Algeria,Africa,,2852648,2871698,2895631,2924503,2953663,2983114,3012858,3042898,3073238,3103881,3134829,3166085,3197653,3229536,3261737,3294259,3327104,3360278,3393782,3427620,3461795,3496311,3531171,3566379,3601937,3637850,3674121,3710754,3747752,3785118,3822857,3860973,3899468,3938347,3977614,4017272,4057326,4097778,4138634,4179601,4220676,4261859,4303146,4344537,4386326,4428517,4471114,4514120,4557540,4607453,4664019,4727402,4797767,4875283,4954052,5034093,5115427,5198076,5282059,5355149,5417110,5467704,5506688,5533813,5561073,5588466,5615995,5643659,5672196,5707777,5750516,5800524,5857917,5922812,5988425,6054766,6121841,6189659,6258229,6336013,6423262,6520235,6627192,6744404,6863688,6985082,7108623,7234349,7362298,7488450,7612711,7734985,7855176,7973182,8092960,8214538,8337943,8463201,8590341,8726599,9019866,9271741,9521703,9771686,10011548,10242297,10473167,10703259,10933788,11164451,11394309,11598615,11778265,11969449,12179097,12381262,12613398,12897121,13190979,13491022,13795915,14110269,14439750,14786473,15153601,15724698,16500516,17134196,17632646,18166982,18739378,19351356,20000098,20682110,21393532,22132910,22882560,23586098,24243024,24889516,25518074,26133906,26748302,27354326,27937006,28478024,28984640,29476030,29924664,30346086,30774624,31200984,31624700,32055882,32510184,32956690,33435082,33983836,34569592,35196040,35856348,36543548,37260568,38000628,38760168,39543148,40339328,41136548,41927008,42705372,43451668,44177964
Andorra,Europe,,3278,3301,3324,3347,3370,3393,3417,3440,3464,3488,3512,3537,3561,3586,3611,3636,3661,3686,3712,3738,3763,3789,3816,3842,3869,3896,3923,3950,3977,4005,4032,4060,4088,4117,4145,4174,4203,4232,4261,4291,4321,4351,4381,4411,4442,4472,4503,4535,4566,4598,4629,4662,4694,4726,4759,4792,4825,4859,4892,4937,4994,5063,5145,5239,5334,5432,5531,5632,5735,5798,5818,5798,5735,5632,5530,5430,5332,5236,5141,5077,5042,5037,5062,5115,5170,5225,5280,5336,5393,5450,5508,5567,5626,5685,5746,5807,5868,5931,5994,6082,6028,5848,5475,5335,5590,6139,6730,7353,8020,8723,9473,10238,11037,11865,12718,13585,14569,15768,17103,18471,19885,21346,22855,24413,26025,27664,29314,30971,32597,34167,35639,37008,38617,40456,42202,43834,45625,47659,49680,51661,53590,55455,57305,59177,61057,62944,64166,64702,65204,65675,66116,67841,70868,73929,76950,79845,80241,78187,76073,73879,71542,70587,71035,71385,71644,71766,72563,73853,75034,76361,77723,79057
Angola,Africa,,2418020,2445639,2469804,2490423,2511209,2532163,2553287,2574582,2596050,2617734,2639636,2661759,2684105,2706676,2729431,2752372,2775501,2798819,2822327,2844907,2866541,2887214,2906908,2925605,2944418,2963345,2982389,3001550,3020828,3040210,3059698,3079292,3098992,3118798,3138726,3158775,3178946,3199240,3219658,3233687,3241303,3242479,3237188,3225405,3213659,3201949,3190277,3178642,3167043,3153583,3138277,3121144,3102199,3081459,3060853,3040379,3020037,2999825,2979744,2962141,2946996,2934290,2924003,2916116,2908245,2900390,2892552,2884730,2873191,2872529,2882863,2904314,2937004,2981059,3025775,3071162,3117230,3163988,3211448,3258958,3306510,3354095,3401704,3449328,3497619,3546586,3596238,3646585,3697637,3752445,3811116,3873759,3940488,4011417,4083622,4157127,4231956,4308131,4385677,4465620,4478186,4569744,4663968,4758721,4850457,4938121,5022111,5104334,5185843,5269954,5357201,5441328,5521405,5599831,5673208,5736588,5787056,5827502,5868201,5928387,6029702,6177053,6364736,6578237,6802495,7032728,7266788,7511898,7771595,8043223,8330053,8631461,8947154,9276704,9617709,9970631,10332577,10694060,11060263,11439505,11828643,12228698,12632509,13038277,13462032,13912258,14383352,14871148,15366866,15870759,16394067,16941584,17516140,18124346,18771128,19450962,20162338,20909692,21691524,22507674,23364196,24259120,25188298,26147012,27128340,28127724,29154742,30208634,31273538,32353592,33428490,34503776
Asia,Asia,https://www.joaoleitao.com/flags/VIETNAME-FLAG.png,825489039,825140598,824118722,822430482,820791535,819201877,817661526,816170488,814728803,813640176,812901530,812518807,812487872,812801035,813147442,813519627,813916125,814343757,814800504,815716032,817101095,818935327,821243760,823995757,826753266,829543296,832344921,835128006,837908196,841138989,844858996,849089180,853831270,859077394,864378253,869788419,875226843,880739416,886298069,891678432,896895609,901901126,906708550,911321798,915991009,920728298,925469192,930269915,935108383,940443731,946242864,952498307,959237085,966451106,973734587,981090354,988522382,996049773,1003674302,1011322860,1018997582,1026660265,1034425911,1042234550,1050154533,1058188662,1066281832,1074410073,1082756905,1091090241,1099417986,1107621411,1115699547,1123673982,1131787684,1140024531,1148394646,1156897793,1165548726,1175056070,1185463161,1196785984,1209016893,1222124693,1235397711,1248842623,1262555134,1276502272,1290722765,1303469421,1314744179,1324559853,1332892961,1339548622,1345916914,1352400061,1359285868,1366884901,1375039604,1387587694,1378554727,1405143078,1434494047,1465867616,1498211442,1532368957,1566934853,1603074679,1639899539,1672174028,1698939691,1725304326,1760632925,1806724539,1854882565,1901594742,1948036863,1994226633,2042761361,2093665797,2144906508,2195423804,2245577141,2296593872,2346946783,2395376069,2442681709,2489872409,2536783728,2584916791,2635334410,2687793098,2742593626,2797881469,2853170213,2909856492,2968294733,3028624604,3089224548,3149702853,3210563750,3269054085,3324377494,3378235529,3431170953,3483316665,3534544077,3585198287,3635442850,3685232690,3735089775,3785215058,3834687401,3883310793,3931402529,3979329053,4027291741,4074998014,4122790915,4171339685,4220041467,4268479060,4317165429,4365286895,4412496398,4458250376,4502955714,4547095064,4588802751,4627738749,4663086623,4693332132
Antigua and Barbuda,,,37000,36993,36987,36980,36974,36967,36961,36954,36947,36900,36812,36683,36514,36305,36098,35891,35686,35482,35279,35116,34993,34908,34863,34857,34851,34845,34838,34832,34826,34859,34930,35041,35191,35381,35572,35764,35957,36150,36345,36460,36493,36447,36319,36112,35905,35700,35496,35293,35091,34867,34620,34353,34064,33754,33447,33142,32841,32542,32246,31968,31709,31467,31243,31037,30832,30628,30425,30224,30030,29894,29817,29799,29839,29937,30035,30134,30233,30332,30431,30700,31144,31768,32579,33584,34620,35687,36787,37922,39091,40113,40981,41690,42232,42601,42973,43348,43727,44109,44494,44962,45456,46422,47380,48338,49296,50284,51265,52261,53280,54321,55356,56264,57029,57794,58682,59664,60638,61634,62675,63763,64536,64782,64712,64484,64232,64053,64011,64138,64351,64631,64907,65092,65246,65426,65379,65068,64732,64373,64002,63657,63346,63653,64676,65849,67091,68417,69817,71233,72589,73833,75070,76227,77216,78095,78955,79879,80909,82035,83267,84546,85710,86749,87688,88512,89252,89958,90575,91133,91644,92127,92672,93229
Argentina,Americas,,1088372,1115037,1138181,1157597,1177346,1197431,1217858,1238634,1259765,1285261,1315328,1350176,1390026,1435105,1481646,1529696,1579305,1630522,1683400,1737824,1793839,1851491,1910827,1971896,2034917,2099952,2167065,2236323,2307795,2381550,2457663,2536208,2617264,2700910,2787229,2876307,2968232,3063095,3160989,3262972,3369205,3479859,3595108,3715134,3839167,3967341,4099794,4236670,4378115,4528806,4689224,4859874,5041283,5234002,5434089,5641825,5857502,6081424,6313906,6538902,6755700,6963548,7161653,7349182,7541621,7739100,7941749,8149705,8363921,8590120,8828805,9080500,9345749,9625115,9912832,10209150,10514325,10828623,11152315,11456721,11740751,12003277,12243128,12459087,12678855,12902500,13130090,13361694,13597383,13841849,14095334,14358089,14630369,14912438,15199944,15492994,15791693,16096152,16406480,16720391,17017748,17354614,17693856,18032748,18369248,18700684,19031200,19363792,19695358,20024528,20349748,20680658,21020364,21364018,21708488,22053662,22403120,22757014,23112976,23472030,23842804,24223380,24612798,25020592,25449752,25875562,26290258,26713780,27146124,27584138,28024808,28471284,28922768,29377144,29832200,30287120,30748332,31216450,31690790,32165770,32637658,33105766,33568280,34027240,34488696,34946116,35389360,35815968,36233196,36653032,37070772,37480492,37885024,38278164,38668796,39070504,39476856,39876116,40273768,40684344,41100124,41520736,41952364,42388268,42824064,43257064,43668236,44054616,44413592,44745516,45036032,45276788
Armenia,Europe,,543681,548544,553450,558400,563394,568433,573517,578646,583821,589043,594311,599626,604988,610399,615858,621366,626923,632529,638186,643893,649651,655461,661323,667237,673204,679224,685298,691426,697609,703848,710142,716492,722899,729363,735885,742466,749105,755803,762562,769380,776260,783201,790204,797270,804399,811591,818848,826170,833557,841010,848530,856117,863771,871494,879286,887148,895080,903083,911157,919304,927523,935816,944182,952624,961141,969734,978404,987151,996209,1005351,1014577,1023887,1033283,1042765,1052334,1061991,1071737,1081571,1091497,1101513,1111621,1121822,1132116,1142505,1152990,1163570,1174248,1185024,1195898,1206872,1217947,1229124,1240403,1251786,1263273,1274866,1286564,1298371,1310285,1328575,1385038,1424011,1465071,1508561,1554929,1604375,1657523,1714536,1774821,1838241,1904150,1971533,2039356,2106147,2171033,2234051,2295504,2355997,2416461,2476361,2534383,2590931,2648056,2706854,2767650,2830798,2896316,2965526,3038231,3097063,3135123,3167876,3202010,3238295,3272111,3300901,3327186,3351374,3366840,3448188,3556544,3617638,3574558,3457344,3373715,3322788,3298903,3271422,3240550,3206033,3168525,3133138,3105040,3084107,3065748,3047254,3026490,3004398,2983425,2964300,2946296,2928984,2914428,2901386,2889937,2878598,2865841,2851929,2836563,2820604,2805610,2790971
